gender,SeniorCitizen,Partner,Dependents,tenure,tenure_scaled,PhoneService,MultipleLines,Internet_DSL,Internet_Fiber,Internet_No,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_month,Contract_1year,Contract_2year,PaperlessBilling,PM_electronic_check,PM_mailed_check,PM_bank_transfer,PM_credit_card,MonthlyCharges,MonthlyCharges_scaled,TotalCharges,TotalCharges_scaled,Churn
0,0,1,0,1,0.01388888889,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,29.85,0.1154228856,29.85,0.003437039425,0
1,0,0,0,34,0.4722222222,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,56.95,0.3850746269,1889.5,0.2175640199,0
1,0,0,0,2,0.02777777778,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,53.85,0.3542288557,108.15,0.01245279108,1
1,0,0,0,45,0.625,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,42.3,0.2393034826,1840.75,0.2119507646,0
0,0,0,0,2,0.02777777778,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,70.7,0.5218905473,151.65,0.017461542,1
0,0,0,0,8,0.1111111111,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,99.65,0.8099502488,820.5,0.09447540531,1
1,0,0,1,22,0.3055555556,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,89.1,0.7049751244,1949.4,0.2244611275,0
0,0,0,0,10,0.1388888889,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,29.75,0.1144278607,301.9,0.03476188283,0
0,0,1,0,28,0.3888888889,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,104.8,0.8611940299,3046.05,0.3507334654,1
1,0,0,1,62,0.8611111111,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,56.15,0.3771144279,3487.95,0.4016154661,0
1,0,1,1,13,0.1805555556,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,49.95,0.3154228856,587.45,0.06764116618,0
1,0,0,0,16,0.2222222222,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18.95,0.006965174129,326.8,0.03762896094,0
1,0,1,0,58,0.8055555556,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,100.35,0.8169154229,5681.1,0.6541428703,0
1,0,0,0,49,0.6805555556,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,103.7,0.8502487562,5036.3,0.579898213,1
1,0,0,0,25,0.3472222222,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,105.5,0.868159204,2686.05,0.3092817336,0
